The maximum sample data size is 20000

	insertionsort(): sorted
         N	 repetitions	   sort(sec)
      1000	      202396	    0.000005
      2000	      120970	    0.000008
      3000	       86265	    0.000012
      4000	       68517	    0.000015
      5000	       57074	    0.000018
      6000	       49015	    0.000020
      7000	       42011	    0.000024
      8000	       37634	    0.000027
      9000	       33887	    0.000030
     10000	       30489	    0.000033
     20000	       15482	    0.000065

	insertionsort(): randomized
         N	 repetitions	   sort(sec)
      1000	        1578	    0.000634
      2000	         401	    0.002497
      3000	         179	    0.005616
      4000	         100	    0.010055
      5000	          65	    0.015509
      6000	          46	    0.022211
      7000	          33	    0.030339
      8000	          26	    0.039502
      9000	          20	    0.050141
     10000	          16	    0.063154
     20000	           5	    0.247244

	insertionsort(): reversed
         N	 repetitions	   sort(sec)
      1000	         777	    0.001288
      2000	         198	    0.005068
      3000	          90	    0.011193
      4000	          51	    0.019862
      5000	          31	    0.032765
      6000	          23	    0.044524
      7000	          17	    0.060603
      8000	          13	    0.079768
      9000	          10	    0.101721
     10000	           9	    0.123751
     20000	           3	    0.497949

	mergesort(): sorted
         N	 repetitions	   sort(sec)
      1000	       16766	    0.000060
      2000	        8009	    0.000125
      3000	        4997	    0.000200
      4000	        3743	    0.000267
      5000	        2932	    0.000341
      6000	        2352	    0.000425
      7000	        2016	    0.000496
      8000	        1716	    0.000583
      9000	        1416	    0.000706
     10000	        1341	    0.000746
     20000	         653	    0.001533

	mergesort(): randomized
         N	 repetitions	   sort(sec)
      1000	        9381	    0.000107
      2000	        4243	    0.000236
      3000	        2619	    0.000382
      4000	        1862	    0.000537
      5000	        1486	    0.000673
      6000	        1144	    0.000875
      7000	        1014	    0.000986
      8000	         917	    0.001091
      9000	         800	    0.001251
     10000	         683	    0.001465
     20000	         303	    0.003312

	mergesort(): reversed
         N	 repetitions	   sort(sec)
      1000	       14268	    0.000070
      2000	        6918	    0.000145
      3000	        4562	    0.000219
      4000	        3435	    0.000291
      5000	        2725	    0.000367
      6000	        2203	    0.000454
      7000	        1871	    0.000535
      8000	        1688	    0.000592
      9000	        1489	    0.000672
     10000	        1361	    0.000735
     20000	         641	    0.001562

	quicksort(): sorted
         N	 repetitions	   sort(sec)
      1000	         415	    0.002411
      2000	         104	    0.009668
      3000	          45	    0.022665
      4000	          26	    0.039564
      5000	          17	    0.060959
      6000	          12	    0.086273
      7000	           9	    0.117706
      8000	           7	    0.154419
      9000	           6	    0.193891
     10000	           5	    0.239301
     20000	           2	    0.958095

	quicksort(): randomized
         N	 repetitions	   sort(sec)
      1000	       13339	    0.000075
      2000	        5764	    0.000174
      3000	        3422	    0.000292
      4000	        2528	    0.000396
      5000	        1836	    0.000545
      6000	        1518	    0.000659
      7000	        1274	    0.000785
      8000	        1148	    0.000872
      9000	         991	    0.001010
     10000	         893	    0.001121
     20000	         410	    0.002441

	quicksort(): reversed
         N	 repetitions	   sort(sec)
      1000	         564	    0.001776
      2000	         143	    0.007025
      3000	          63	    0.016023
      4000	          36	    0.028158
      5000	          23	    0.044778
      6000	          16	    0.062933
      7000	          12	    0.085904
      8000	           9	    0.112885
      9000	           8	    0.141926
     10000	           6	    0.175180
     20000	           2	    0.698754
